#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H0>16-Sec Level 2 Data
#     DESCRIPTOR                      MAG>ACE Magnetic Field Instrument
#     DATA_VERSION                    7
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 2019036
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 9/7/01
#                                     12/04/02: Fixed description of Epoch time variable.
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 ac_h0_mfi_00000000_v01
#     LOGICAL_SOURCE                  AC_H0_MFI
#     LOGICAL_SOURCE_DESCRIPTION      H0 - ACE Magnetic Field 16-Second Level 2 Data
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 16 second
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H0_16sec_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/MAG/L2/PT16S
#     CDAWEB_PARENTS                  ac_h0_mfi_00000000_v01
#                                     ac_h0_mfi_20180825_v07, ac_h0_mfi_20180826_v07
#                                     ac_h0_mfi_20180827_v07, ac_h0_mfi_20180828_v07
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. Magnetic field vector in GSM coordinates (16 sec)
#
EPOCH                                 BX_(GSM)               BY_(GSM)               BZ_(GSM)
                              (@_x_component_)       (@_y_component_)       (@_z_component_)
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
25-08-2018 00:00:04.000                2.16500               -4.18100                2.23600
25-08-2018 00:00:20.000                2.16600               -4.29400                2.01000
25-08-2018 00:00:36.000                2.01000               -4.38600                1.62800
25-08-2018 00:00:52.000                2.20700               -4.29100                1.72000
25-08-2018 00:01:08.000                2.16200               -4.36500                1.61500
25-08-2018 00:01:24.000                2.20100               -4.26800                1.70500
25-08-2018 00:01:40.000                2.22200               -4.31200                1.67700
25-08-2018 00:01:56.000                2.15600               -4.35300                1.67200
25-08-2018 00:02:12.000                2.11400               -4.34300                1.69900
25-08-2018 00:02:28.000                2.16300               -4.34300                1.65500
25-08-2018 00:02:44.000                2.02500               -4.43900                1.60800
25-08-2018 00:03:00.000                2.02300               -4.39700                1.66900
25-08-2018 00:03:16.000                2.19700               -4.45200                1.68400
25-08-2018 00:03:32.000                2.20800               -4.46200                1.68000
25-08-2018 00:03:48.000                2.26500               -4.53600                1.73400
25-08-2018 00:04:04.000                2.19700               -4.56200                1.67000
25-08-2018 00:04:20.000                2.20700               -4.52400                1.61300
25-08-2018 00:04:36.000                2.04300               -4.53800                1.43900
25-08-2018 00:04:52.000                2.11500               -4.50400                1.46600
25-08-2018 00:05:08.000                2.09900               -4.56000                1.57100
25-08-2018 00:05:24.000                2.11300               -4.55200                1.71300
25-08-2018 00:05:40.000                2.12600               -4.62000                1.68700
25-08-2018 00:05:56.000                2.06300               -4.61800                1.62500
25-08-2018 00:06:12.000                2.14300               -4.54900                1.71800
25-08-2018 00:06:28.000                2.11000               -4.63000                1.63200
25-08-2018 00:06:44.000                2.09700               -4.62200                1.65600
25-08-2018 00:07:00.000                2.09500               -4.67800                1.38100
25-08-2018 00:07:16.000                2.18100               -4.71800                1.45600
25-08-2018 00:07:32.000                2.23900               -4.79800                1.59800
25-08-2018 00:07:48.000                2.26200               -4.76800                1.72400
25-08-2018 00:08:04.000                2.25300               -4.73200                1.71400
25-08-2018 00:08:20.000                2.30600               -4.67200                1.65600
25-08-2018 00:08:36.000                2.20800               -4.69800                1.73200
25-08-2018 00:08:52.000                2.29300               -4.74800                1.71600
25-08-2018 00:09:08.000                2.28600               -4.69500                1.68300
25-08-2018 00:09:24.000                2.29000               -4.67600                1.74900
25-08-2018 00:09:40.000                2.31600               -4.63200                1.66400
25-08-2018 00:09:56.000                2.26900               -4.59200                1.58900
25-08-2018 00:10:12.000                2.16400               -4.68900                1.79800
25-08-2018 00:10:28.000                1.74000               -4.63000                2.46700
25-08-2018 00:10:44.000                1.78900               -4.71100                2.43300
25-08-2018 00:11:00.000                1.75500               -4.78300                2.53900
25-08-2018 00:11:16.000                1.72700               -4.77300                2.57400
25-08-2018 00:11:32.000                1.79900               -4.70700                2.61600
