#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NOAA/GOES
#     SOURCE_NAME                     GOES13
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       1min
#     DESCRIPTOR                      EPS-MAGED>Energetic Particle Sensor - Magnetospheric Electron Detector
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     DATA_VERSION                    01
#     PI_NAME                         NOAA NGDC and SWPC
#     PI_AFFILIATION                  sem.goes@noaa.gov
#     TEXT                            Data has been recast from original NOAA netCDF files by SPDF. DATA CAVEATS/WARNINGS:                   
#     TEXT                             The MagED data may not be accurate at times due to instrument limitations such                        
#     TEXT                             as dead time and proton contamination. Every effort is made to reduce these                           
#     TEXT                             effects but uncertainties are inevitable. Additionally, the detectors may suffer                      
#     TEXT                             from intermittent noise problems. Please contact Juan V. Rodriguez (sem.goes@noaa.gov)                
#                                      with questions or concerns.                                                                           
#     INSTRUMENT_TYPE                 Particles (space)
#     MISSION_GROUP                   GOES
#     LOGICAL_SOURCE                  goes13_eps-maged_1min
#     LOGICAL_FILE_ID                 goes13_eps-maged_1min_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      GOES-13 EPS (Energetic Particle Sensor) MagED (Magnetospheric Electron Detector)                       
#                                      1 minute electron fluxes 40-475 keV                                                                   
#     GENERATION_DATE                 Wed Jul  1 10:18:17 2015
#     MODS                            Final release updates 8/23/2013 REM
#     LINK_TEXT                       Primary GOES
#     LINK_TITLE                      archive and instrument documentation at NOAA National Geophysical Data Center                          
#                                      (NGDC)                                                                                                
#     HTTP_LINK                       http://www.ngdc.noaa.gov/stp/satellite/goes/index.html
#     CONVENTIONS                     GOES Space Weather
#     TITLE                           GOES Magnetospheric Electron Detector
#     INSTITUTION                     NOAA
#     SOURCE                          Satellite Insitu Observations
#     SATELLITE_ID                    GOES-13
#     INSTRUMENT                      Magnetospheric Electron Detector
#     PROCESS_TYPE                    Time averaged
#     PROCESS_LEVEL                   level 2
#     SAMPLE_TIME                     1
#     SAMPLE_UNIT                     minutes
#     CREATION_DATE                   2015-07-01 07:50:50.865 UTC
#     START_DATE                      2015-06-01 00:00:00.000 UTC
#     END_DATE                        2015-06-30 23:59:00.000 UTC
#     RECORDS_PRESENT                 43200
#     ORIGINATING_AGENCY              DOC/NOAA/NCEP/NWS/SWPC
#     ARCHIVING_AGENCY                DOC/NOAA/NESDIS/NGDC
#     SPASE_DATASETRESOURCEID         spase://NOAA/NumericalData/GOES/13/EPS/MAGED/19ME15/PT1M
#     CDAWEB_PARENTS                  goes13_eps-maged_1min_00000000_v01
#                                     goes13_eps-maged_1min_20150601_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Default time
#  2. Average Electron Flux at 40 keV for 9 directions ordered north to south (101 to 109) or south to north depending on yaw state in time-series plots; corrected for dead-time errors and other contamination sources
#
EPOCH                                      ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV
                            (@_105_(pseudo telescope no)) (@_104_(pseudo telescope no)) (@_107_(pseudo telescope no)) (@_106_(pseudo telescope no)) (@_103_(pseudo telescope no)) (@_102_(pseudo telescope no)) (@_109_(pseudo telescope no)) (@_108_(pseudo telescope no)) (@_101_(pseudo telescope no))
dd-mm-yyyy hh:mm:ss.mil.mic             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)             e/(cm^2-s-sr-keV)
21-06-2015 00:00:00.000.000                       16109.5                       17781.5                       16883.5                       16935.8                       16106.2                       17320.3                       6139.23                       13303.3                       15158.3
21-06-2015 00:01:00.000.000                       16124.5                       17745.8                       16852.3                       16973.9                       16127.5                       17398.2                       6117.38                       13401.1                       15190.2
21-06-2015 00:02:00.000.000                       16079.2                       17778.6                       16885.2                       16939.7                       16102.2                       17269.5                       6185.08                       13313.5                       15143.2
21-06-2015 00:03:00.000.000                       16008.5                       17377.7                       16932.9                       16880.2                       16097.9                       17166.4                       6152.51                       13182.1                       15099.8
21-06-2015 00:04:00.000.000                       15927.0                       17334.7                       16748.7                       16773.8                       16059.9                       17059.2                       6129.15                       13195.5                       14941.3
21-06-2015 00:05:00.000.000                       15964.9                       17280.3                       16687.4                       16881.4                       15991.5                       16998.6                       6162.08                       13182.8                       14945.2
21-06-2015 00:06:00.000.000                       15900.2                       17380.7                       16794.3                       16771.5                       15862.4                       17165.3                       6163.86                       13142.2                       15060.9
21-06-2015 00:07:00.000.000                       15905.2                       17208.7                       16752.5                       16882.7                       16067.1                       17127.3                       6108.44                       13240.3                       14988.5
21-06-2015 00:08:00.000.000                       15900.4                       17382.4                       16718.1                       16909.8                       15905.9                       17033.7                       6142.37                       13160.2                       15080.2
21-06-2015 00:09:00.000.000                       15811.0                       17219.2                       16494.3                       16881.5                       15882.4                       17035.3                       6128.41                       13051.2                       15056.1
21-06-2015 00:10:00.000.000                       15713.7                       17045.4                       16402.3                       16700.7                       15805.2                       16967.1                       6118.64                       13027.6                       14900.1
21-06-2015 00:11:00.000.000                       15700.0                       17182.2                       16548.1                       16797.1                       15770.0                       16966.4                       6131.06                       13007.9                       14903.0
21-06-2015 00:12:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:13:00.000.000                       15903.2                       17182.2                       16498.4                       16828.1                       15775.4                       17002.1                       6142.17                       13142.4                       14949.6
21-06-2015 00:14:00.000.000                       15847.8                       17180.4                       16592.0                       16805.9                       15851.7                       16969.5                       6148.80                       13093.2                       14923.3
21-06-2015 00:15:00.000.000                       15750.2                       17087.0                       16747.1                       16829.1                       15905.7                       17003.1                       6163.61                       13075.6                       14992.6
21-06-2015 00:16:00.000.000                       15902.3                       17184.9                       16551.2                       16773.9                       15796.9                       17001.4                       6143.22                       13076.4                       14991.8
21-06-2015 00:17:00.000.000                       15719.6                       17147.5                       16513.9                       16671.8                       15872.9                       16966.3                       6161.14                       13008.6                       14902.4
